Currency,Date,ClosingPrice,24hOpen,24hHigh,24hLow
TRX,6/13/2019,0.032713883,0.033593363,0.033818699,0.021860487
TRX,6/14/2019,0.032020115,0.032716013,0.032791453,0.020541572
TRX,6/15/2019,0.032493856,0.031998546,0.032966549,0.006195903
TRX,6/16/2019,0.032978448,0.032494587,0.033738832,0.022458673
TRX,6/17/2019,0.033897689,0.03297954,0.034078865,0.031890049
TRX,6/18/2019,0.032663,0.033915879,0.034132786,0.032069306
TRX,6/19/2019,0.03334995,0.032662495,0.033698625,0.021281033
TRX,6/20/2019,0.03256099,0.033351446,0.033630418,0.019352462
TRX,6/21/2019,0.033146568,0.0325605,0.03385499,0.019762594
TRX,6/22/2019,0.036043839,0.033168967,0.03774562,0.033011741
TRX,6/23/2019,0.037618653,0.036038428,0.038622646,0.035755917
TRX,6/24/2019,0.038107851,0.037623394,0.039464554,0.025830079
TRX,6/25/2019,0.038596173,0.038120615,0.040342099,0.037255953
TRX,6/26/2019,0.036064153,0.038623956,0.039728947,0.034131394
TRX,6/27/2019,0.032043566,0.036065089,0.037183875,0.029680189
TRX,6/28/2019,0.033390412,0.03203865,0.033679724,0.031441162
